"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WH3NIQCH","conferencePaper","2021","Malina, Lukas; Cibik, Peter; Jedlicka, Petr; Smekal, David; Ricci, Sara; Hrabovsky, Jakub","Hardware-based Cryptographic Accelerator for Post Quantum Era","2021 13th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT)","","2157-023X","10.1109/ICUMT54235.2021.9631686","https://ieeexplore.ieee.org/document/9631686/","Emerging quantum computing brings many benefits in numerous applications and services as solving efficiently complex operations and problems. Nevertheless, quantum computing may also jeopardize current cryptography standard schemes by solving the problems used in these schemes. Therefore, new quantum-resistant cryptographic primitives and installations are required for the near future. In this work, we present a hardware-based cryptographic accelerator that provides resistance to quantum computer attacks. Directly in VHDL, we design and implement essential cryptographic functions which can be loaded to our accelerator equipped with the FPGA board. Our solution provides efficient encryption, signing, and hashing operations for securing the input data or network packets. Moreover, we create a high-level software demonstrator for setting and using these operations in the accelerator. The presented results prove that cryptography functions accelerated in our hardware-based solution are more efficient than software implementations. Therefore, our solution can provide high-speed and quantum-secure data processing.","2021-10","2026-04-09 16:35:17","2026-05-03 10:18:39","2026-04-09 16:33:19","149-155","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2157-023X","<p>Export Date: 02 May 2026; Cited By: 3</p>","/Users/mac/Zotero/storage/IJBERADX/Malina et al. - 2021 - Hardware-based Cryptographic Accelerator for Post Quantum Era.pdf","","Quantum computers; Quantum Computing; Quantum cryptography; Post quantum; Acceleration; Field programmable gate arrays (FPGA); FPGA; Hardware implementations; Data handling; Computer hardware; 'current; Cryptography; Security; Quantum-Resistant Cryptography; Quantum-resistant cryptography; Hardware Implementation; Cryptographic primitives; Cryptographic accelerators; Complex operations; Complex problems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 13th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT)","","","","","","","","","","","","","","",""
"NX67XP6K","conferencePaper","2022","Zhao, Kun; Liu, Wei; Mu, Qi; Wang, Hongliang; Li, Ruidong; He, Zhangzhao","PCIe Cryptographic Accelerator Based on Domestic FPGA","2022 International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)","","","10.1109/CCPQT56151.2022.00011","https://ieeexplore.ieee.org/document/9939302/","FPGA offers great advantages over ASICs (Application Specific Integrated Circuits) and software when being used for cryptographic applications. However, PCIe cryptographic cards are based on foreign FPGA chips such as Xilinx and Intel. In this paper, a system design and implementation method of high-speed PCIe cryptographic accelerator based on domestic FPGA is proposed, which implements SM4 algorithm. The system consists of hardware module, logic cryptographic algorithm module, host driver and API (Application Programming Interface) module. An optimized scheme for PCIe DMA is implemented in this paper. The PCIe Gen2*4 simultaneous read/write bandwidth is up to 14.08 Gbps with 88% utilization. Based-on pipeline mode, SM4 cryptographic algorithm achieves encryption/decryption speeds of 13.53/13.51 Gbps, respectively. The FPGA accelerated implementation is twice faster than the software implementation in both encryption and decryption modes. The cryptographic system is able to be used as an integral part of CPU-FPGA heterogeneous secure data cryptographic applications.","2022-08","2026-04-09 16:35:17","2026-05-03 09:59:16","2026-04-09 16:33:22","25-31","","","","","","","","","","","","","","","","","","IEEE Xplore","","","<p>Export Date: 02 May 2026; Cited By: 2; Correspondence Address: K. Zhao; Inspur Electronic Information Industry Co., Ltd, Jinan, Shandong, China; email: zhaokunbj@inspur.com</p>","/Users/mac/Zotero/storage/ECKBDJLA/Zhao et al. - 2022 - PCIe Cryptographic Accelerator Based on Domestic FPGA.pdf","","Field programmable gate arrays (FPGA); FPGA; Cryptography; Cryptographic algorithms; Application programs; CryptoGraphics; Design and implementations; Application programming interfaces (API); Application-specific integrated circuits; Cryptographic applications; Cryptographic accelerators; FPGA chips; Integrated software; PCIe; SM4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)","","","","","","","","","","","","","","",""
"KNL7C3R2","conferencePaper","2023","He, Pengzhou; Bao, Tianyou; Tu, Yazheng; Xie, Jiafeng","Efficient Implementation of Ring-Binary-LWE-based Lightweight PQC Accelerator on the FPGA Platform","2023 IEEE 31st Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM)","","2576-2621","10.1109/FCCM57271.2023.00021","https://ieeexplore.ieee.org/document/10171484/","Post-quantum cryptography (PQC) has gained sub-stantial attention from various communities recently. Along with the ongoing National Institute of Standards and Technology (NIST) PQC standardization process that targets the general-purpose PQC algorithms, the research community is also looking for efficient lightweight PQC schemes. Among this direction of efforts, Ring-Binary-Learning-with-Errors (RBLWE)-based encryption scheme (RBLWE-ENC) is regarded as a promising lightweight PQC fitting Internet-of-Things (IoT) and edge computing applications. As hardware implementation for PQC algorithms has become one of the major advances in the field, in this paper, we follow this trend to present an efficient implementation of RBLWE-ENC lightweight accelerator on the field-programmable gate array (FPGA) platform. Overall, we have demonstrated three coherent interdependent stages of efforts: (i) we have presented detailed derivation processes to formulate the proposed algorithmic operation; (ii) we have then implemented the proposed algorithm into a desired hardware accelerator; and (iii) we provided thorough complexity analysis and comparison to showcase the superior performance of the proposed accelerator over the state-of-the-art designs, e.g., the proposed accelerator with v=8 has at least 66.67% less area-time complexities than the existing ones (Virtex-7 FPGA). We hope the outcome of this work can facilitate lightweight PQC development.","2023-05","2026-04-09 16:35:17","2026-05-03 10:07:23","2026-04-09 16:33:24","114-120","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2576-2621","<p>Export Date: 02 May 2026; Cited By: 0; Correspondence Address: J. Xie; Villanova University, Department of Electrical and Computer Engineering, Villanova, 19087, United States; email: jiafeng.xie@villanova.edu</p>","/Users/mac/Zotero/storage/TRGE23JB/He et al. - 2023 - Efficient Implementation of Ring-Binary-LWE-based Lightweight PQC Accelerator on the FPGA Platform.pdf","","Post quantum cryptography; Quantum cryptography; Field programmable gate arrays (FPGA); FPGA; Field programmables; Field-programmable gate array; Programmable gate array; Internet of things; Parallel processing systems; Learning with Errors; Cryptography algorithms; Efficient implementation; Field programmable gate array platform; Lightweight post-quantum cryptography accelerator; lightweight PQC accelerator; Ring-binary-learning-with-error; Ring-Binary-Learning-with-Errors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 IEEE 31st Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM)","","","","","","","","","","","","","","",""
"UNQ4J9ZW","conferencePaper","2025","Dao, Ba-Anh; Le, Dinh-Hung; Nguyen, Ngoc-Quynh","FPGA Implementation of Kuznyechik Block Cipher with Improved Resource Efficiency","2025 2nd International Conference On Cryptography And Information Security (VCRIS)","","","10.1109/VCRIS68011.2025.11250568","https://ieeexplore.ieee.org/document/11250568/","Nowadays, the device area and power consumption of embedded, lightweight, and secure systems are tightly constrained. This raises a significant need for resource-optimized cryptographic solutions. This study presents a novel FPGA implementation of the Kuznyechik block cipher that significantly reduces hardware resource usage. When implemented on a Xilinx Kintex-7 FPGA device, the proposed design requires only 2,274 Slice Look-Up Tables (LUTs), 2,345 Slice Registers, and no Block RAM (BRAM). Compared to previous work, this implementation reduces hardware resource usage by up to 2.62 times, with a throughput reduction of approximately 2.34 times. The design architecture, resource optimization techniques, and experimental results are clearly explained in this paper.","2025-10","2026-04-09 16:35:17","2026-05-03 10:09:56","2026-04-09 16:33:27","1-5","","","","","","","","","","","","","","","","","","IEEE Xplore","","","<p>Export Date: 02 May 2026; Cited By: 0; Correspondence Address: B.-A. Dao; The Academy of Cryptography Techniques, Hanoi, Viet Nam; email: daobaanh@actvn.edu.vn</p>","/Users/mac/Zotero/storage/XAVBM38P/Dao et al. - 2025 - FPGA Implementation of Kuznyechik Block Cipher with Improved Resource Efficiency.pdf","","Hardware security; Field programmable gate arrays (FPGA); Integrated circuit design; Cryptography; Random access storage; Embedded systems; Power; Embedded-system; Table lookup; FPGA implementations; Ciphertext; Resource efficiencies; FPGAs implementation; Cryptographic accelerators; Block ciphers; Cryptographic accelerator; FPGA implementation; Kuznyechik block cipher; Hardware resources; Resource usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 2nd International Conference On Cryptography And Information Security (VCRIS)","","","","","","","","","","","","","","",""
"GC4C8ZAA","conferencePaper","2018","Hulič, Michal; Vokorokos, Liberios; Ádám, Norbert; Fecil'ak, Peter","Hardware design of cryptographic accelerator","2018 IEEE 16th World Symposium on Applied Machine Intelligence and Informatics (SAMI)","","","10.1109/SAMI.2018.8324839","https://ieeexplore.ieee.org/document/8324839/","The goal of this paper is representation of computing unit focused on implementation hardware cryptography accelerator. After analysis of assigned problem, there are next chapters dedicated to available solutions, comparison of them, the issues of cryptography and computer security, FPGA device in which the designed solution is verified and tested, the chapters dedicated to cryptography algorithm RSA. Chapters of synthesis have the specifically implemented and designed solution in programming languages of lower and higher level. In evaluation and conclusion chapter there are measurements on software and hardware level and comparison among them.","2018-02","2026-04-09 16:35:17","2026-05-03 10:08:10","2026-04-09 16:33:29","000201-000206","","","","","","","","","","","","","","","","","","IEEE Xplore","","","<p>Export Date: 02 May 2026; Cited By: 1</p>","/Users/mac/Zotero/storage/G8CBPQKH/Hulič et al. - 2018 - Hardware design of cryptographic accelerator.pdf","","Hardware security; Artificial intelligence; Hardware; Computer hardware; Cryptography; Cryptography algorithms; Robotics; Software and hardwares; Hardware design; Cryptographic accelerators; Hardware cryptographies; Computing units; FPGA devices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE 16th World Symposium on Applied Machine Intelligence and Informatics (SAMI)","","","","","","","","","","","","","","",""
"AQ6Q9QHM","conferencePaper","2024","Bertolini, Roberto A.; Carloni, Filippo; Conficconi, Davide; Santambrogio, Marco Domenico","POCA: A PYNQ Offloaded Cryptographic Accelerator on Embedded FPGA-Based Systems","2024 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)","","","10.1109/IPDPSW63119.2024.00054","https://ieeexplore.ieee.org/document/10596481/","The pervasiveness of embedded systems across edge and connected devices is challenging their design, as sharing data securely via AES encryption is computationally intensive. This work proposes POCA, an FPGA-accelerated HW/SW library that performs AES cryptographic primitives with different modes and the most used key sizes. The HW/SW approach of POCA showcases the benefits of accelerated cryptographic primitives and the flexibility of a unified platform interface across different embedded systems by exploiting the Python PYNQ framework. POCA matches the multicore ARM crypto extensions on an Ultrascale+ ZU3EG while overwhelming SW performance.","2024-05","2026-04-09 16:35:17","2026-05-03 10:06:03","2026-04-09 16:33:32","194-194","","","","","","POCA","","","","","","","","","","","","IEEE Xplore","","","<p>Export Date: 02 May 2026; Cited By: 0</p>","/Users/mac/Zotero/storage/5A53NIKN/Bertolini et al. - 2024 - POCA A PYNQ Offloaded Cryptographic Accelerator on Embedded FPGA-Based Systems.pdf","","Field programmable gate arrays (FPGA); FPGA; Cryptography; Embedded systems; Embedded-system; Key sizes; Cryptographic primitives; Cryptographic accelerators; AES encryption; Embedded FPGA; HW/SW library; HW/SW Library; Multi-cores; Parallel AES; Platform interface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)","","","","","","","","","","","","","","",""
"LIY9BNIZ","conferencePaper","2023","Le, Vu Trung Duong; Pham, Hoai Luan; Tran, Thi Hong; Nguyen, Quoc Duy Nam; Thi, Sang Duong; Nakashima, Yasuhiko","Versatile Resource-shared Cryptographic Accelerator for Multi-Domain Applications","2023 International Conference on IC Design and Technology (ICICDT)","","2691-0462","10.1109/ICICDT59917.2023.10332303","https://ieeexplore.ieee.org/document/10332303/","SHA256, BLAKE256, BLAKE2s, Salsa20, and Chacha20 are crucial cryptographic algorithms used for data security in multi-domain applications. Consequently, there is a strong need for a flexible cryptographic hardware architecture that can efficiently handle various algorithms and provide excellent performance. Regrettably, existing cryptographic architectures do not meet the requirements for desired flexibility and high performance in these applications. Therefore, this paper introduces a novel resource-shared crypto accelerator (RCA) to achieve high flexibility and maximize hardware efficiency. The RCA applied two optimizations a register-sharing approach with multi-mode digest routers and an adder-sharing approach in flexible ALUs. Theoretical evaluation reveals that the RCA achieves 72% register sharing (104 out of 136) and 78.6% adder sharing (44 out of 56). Verification of RCA on Xilinx ZCU102 FPGA at the system-on-chip level is conducted to demonstrate its accuracy and efficacy. Furthermore, the RCA experimental results on multiple FPGAs show its remarkable flexibility and hardware efficiency. It outperforms existing works in terms of throughput (1.36-28.9 times) and area efficiency (1.14-2.45 times).","2023-09","2026-04-09 16:35:17","2026-05-03 10:36:43","2026-04-09 16:33:34","104-107","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2691-0462","<p>Export Date: 02 May 2026; Cited By: 3; Correspondence Address: V.T.D. Le; Nara Institute of Science and Technology, Japan; email: le.vu_trung_duong.lp4@is.naist.jp</p>","/Users/mac/Zotero/storage/PM5CZGEI/Le et al. - 2023 - Versatile Resource-shared Cryptographic Accelerator for Multi-Domain Applications.pdf","","Field programmable gate arrays (FPGA); FPGA; Performance; Cryptography; Internet of things; Application specific integrated circuits; ASIC; System-on-chip; Efficiency; Programmable logic controllers; Block-chain; blockchain; Blockchain; IoT; cryptography; Cryptographic accelerators; Adder sharing; Adders; Crypto-accelerators; Hardware efficiency; Multi-domains; Registers sharing; resource-shared; Resource-shared","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 International Conference on IC Design and Technology (ICICDT)","","","","","","","","","","","","","","",""
"T25TX9D3","journalArticle","2022","Lucas, Benjamin J.; Alwan, Ali; Murzello, Marion; Tu, Yazheng; He, Pengzhou; Schwartz, Andrew J.; Guevara, David; Guin, Ujjwal; Juretus, Kyle; Xie, Jiafeng","Lightweight Hardware Implementation of Binary Ring-LWE PQC Accelerator","IEEE Computer Architecture Letters","","1556-6064","10.1109/LCA.2022.3160394","https://ieeexplore.ieee.org/document/9737700/","Significant innovation has been made in the development of public-key cryptography that is able to withstand quantum attacks, known as post-quantum cryptography (PQC). This paper focuses on the development of an efficient PQC hardware implementation. Specifically, an implementation of the binary Ring-learning-with-errors (BRLWE)-based encryption scheme, a promising lightweight PQC suitable for resource-constrained applications, is proposed. The paper first develops the mathematical formulation to present the proposed algorithmic process. The corresponding hardware accelerators are then described in detail. Finally, comparisons with previous implementations are provided to demonstrate the superior performance of the proposed design. For instance, the proposed low-complexity accelerator has 34.7% less area-delay product (ADP) than the state-of-the-art design for n=256n=256 in the field-programmable gate array (FPGA) platform. Apart from the efficiency of the hardware architectures, the proposed design also has a complete input/output processing setup, and thus is feasible for emerging lightweight applications.","2022-01","2026-04-09 16:35:17","2026-05-03 10:19:06","2026-04-09 16:33:37","17-20","","1","21","","","","","","","","","","","","","","","IEEE Xplore","","","<p>Export Date: 02 May 2026; Cited By: 39; Correspondence Address: J. Xie; Department of Electrical and Computer Engineering, Villanova University, Villanova, 19085, United States; email: jiafeng.xie@villanova.edu</p>","/Users/mac/Zotero/storage/W8P8UDJN/Lucas et al. - 2022 - Lightweight Hardware Implementation of Binary Ring-LWE PQC Accelerator.pdf","","Post quantum cryptography; Quantum cryptography; Field programmable gate arrays (FPGA); Hardware acceleration; Hardware implementations; Integrated circuit design; Public key cryptography; Computer hardware; Learning with Errors; Computer architecture; Hardware design; hardware design; Arithmetic; Binary ring-LWE; Binary Ring-LWE; complete processing setup; Complete processing setup; lightweight post-quantum cryptography; Lightweight post-quantum cryptography; Register","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQGEWFRF","conferencePaper","2024","Dao, Ba-Anh; Nguyen, Ngoc-Quynh; Nguyen, Chung-Tien","A “Kuznyechik” Block Cipher Accelerator for RISC-V System-on-Chip","2024 1st International Conference On Cryptography And Information Security (VCRIS)","","","10.1109/VCRIS63677.2024.10813451","https://ieeexplore.ieee.org/document/10813451/","Kuznyechik is the Russian symmetric block cipher algorithm that has been introduced in the National Standard of the Russian Federation GOST R 34.12-2015. It provides higher security against mathematical cryptanalysis at the cost of higher computing complexity. In this study, a Kuznyechik accelerator for RISC-V System-on-Chip is proposed to significantly improve the encryption/decryption times of the Russian symmetric block cipher algorithm. Compared to the execution time of an open-source Kuznyechik software implementation, that of the proposed accelerator is reduced by 1597.8 fold. The proposed accelerator has a maximum operating frequency of 124.01 MHz, with a maximum encryption/decryption throughput of 283.45 Mbps. When being deployed on a Xilinx Kintex-7 FPGA device, the proposed Kuznyechik accelerator utilizes a relatively small amount of hardware resources, including 6175 Slice Look-up-Tables (LUTs), 2725 Slice Registers and 4 Block RAM (BRAM), which is 9.74%, 2.15% and 2.96% of available Slice LUTs, Slice Registers and Block RAM, respectively.","2024-12","2026-04-09 16:35:17","2026-05-03 09:33:35","2026-04-09 16:33:39","1-5","","","","","","","","","","","","","","","","","","IEEE Xplore","","","<p>Export Date: 02 May 2026; Cited By: 1</p>","/Users/mac/Zotero/storage/PPWT7VNU/Dao et al. - 2024 - A “Kuznyechik” Block Cipher Accelerator for RISC-V System-on-Chip.pdf","","Hardware security; Cryptography; System-on-chip; Systems-on-Chip; FPGA implementations; Open source software; Encryption/decryption; FPGAs implementation; Cryptographic accelerators; Block ciphers; Cryptographic accelerator; FPGA implementation; Lookup tables (LUTs); RISC-V SoC; Kuznyechik block cipher; Symmetric block cipher algorithm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 1st International Conference On Cryptography And Information Security (VCRIS)","","","","","","","","","","","","","","",""
"BRF37M6U","conferencePaper","2025","Zhang, Xvpeng; Liu, Bingqiang; Hu, Lingyun; Shen, Zixuan; He, Zaisheng; Xu, Dengke; Gwee, Bah Hwee; Wang, Chao","Live Demonstration: An Area and Energy Efficient Reconfigurable Cryptographic Accelerator Based SoC Design for Securing IoT Devices","2025 IEEE International Symposium on Circuits and Systems (ISCAS)","","2158-1525","10.1109/ISCAS56072.2025.11044193","https://ieeexplore.ieee.org/document/11044193/","This demonstration presents an energy and area efficient Reconfigurable Cryptographic Accelerator (RCA) SoC for secure communication in IoT devices. Built on a ZYNQ-7000 development board, the platform supports multiple block ciphers (DES, AES, SM4) and Hash functions (SHA-1, SHA-2, SM3). Users can follow prompts on the OLED screen to select the cryptographic algorithm via buttons and input data through a keyboard or choose large text files from SD card. The ARM Core and accelerator execute the cryptographic operation simultaneously, and energy efficiency is calculated based on power and computing time, showcasing the improved computing speed and energy efficiency of the proposed accelerator.","2025-05","2026-04-09 16:35:17","2026-05-03 09:58:49","2026-04-09 16:33:41","1-1","","","","","","Live Demonstration","","","","","","","","","","","","IEEE Xplore","","ISSN: 2158-1525","","/Users/mac/Zotero/storage/ICYGG8ZD/Zhang et al. - 2025 - Live Demonstration An Area and Energy Efficient Reconfigurable Cryptographic Accelerator Based SoC.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE International Symposium on Circuits and Systems (ISCAS)","","","","","","","","","","","","","","",""
